NR_ZONA,NR_SECAO,NR_LOCAL_VOTACAO,NM_UE,endereco_geocode,lat,lng
274,648,1880,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,82,1082,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,58,1155,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,179,1910,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,397,1090,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,68,1163,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,208,1414,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,505,1570,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,295,1295,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,532,1422,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,118,1317,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,169,1171,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,110,1180,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,90,1104,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,279,1392,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,215,1325,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,418,2259,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,3,1015,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,437,1244,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,249,1287,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,425,2267,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,62,1066,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,132,1201,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,319,2135,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,245,1163,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,212,1414,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,273,1040,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,77,1180,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,153,1198,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,754,2038,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,86,1066,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,206,1414,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,455,1554,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,668,1724,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,669,1929,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,600,1546,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,704,1970,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,310,1244,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,126,1155,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,285,1384,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,47,1058,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,495,2330,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,703,1970,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,107,1082,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,347,1430,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,640,1899,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,776,2062,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,116,1180,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,395,1503,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,392,1465,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,402,1376,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,206,1180,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,171,1180,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,169,1155,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,414,1473,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,483,1554,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,187,1309,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,122,1090,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,488,1422,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,198,1309,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,243,2151,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,494,1562,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,503,2330,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,236,1023,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,134,1104,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,103,1104,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,130,1155,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,369,1481,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,536,1554,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,25,1031,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,438,1465,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,742,2020,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,241,1350,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,308,1457,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,556,2372,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,204,1317,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,198,1317,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,190,1317,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,368,1198,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,667,1872,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,268,1252,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,56,1066,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,4,1015,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,339,1309,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,263,1333,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,483,1490,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,544,2364,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,10,1015,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,446,1724,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,320,1414,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,443,1368,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,201,1058,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,155,1155,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
