zona,abstencao_pct,eleitores_aptos,votos_total,ano
33,39.7,64849,39119,2018
274,41.3,93261,54790,2018
275,40.4,142203,84739,2018
378,49.3,185083,93754,2018
379,49.0,154789,78995,2018
380,43.5,119323,67408,2018
423,40.8,89619,53037,2018
33,38.5,61384,37770,2020
274,30.1,92055,64335,2020
275,31.3,141646,97256,2020
378,29.2,189600,134264,2020
379,30.1,154141,107782,2020
380,30.5,115504,80218,2020
423,30.8,89103,61659,2020
33,38.3,62004,38265,2022
274,38.9,95214,58184,2022
275,37.2,149445,93856,2022
378,41.7,201707,117564,2022
379,40.1,160691,96230,2022
380,40.0,117639,70605,2022
423,38.1,92015,56993,2022
33,46.0,110477,59609,2024
274,42.0,126930,73637,2024
275,44.3,115213,64120,2024
378,42.8,151633,86756,2024
379,43.7,150802,84895,2024
380,43.3,113644,64423,2024
423,42.7,116027,66430,2024
