partido,votos,ano,total_ano,pct
PC DO B,13497,2018,471842,2.86
PDT,3623,2018,471842,0.77
PSB,55825,2018,471842,11.83
PSOL,32653,2018,471842,6.92
PSTU,245,2018,471842,0.05
PT,42031,2018,471842,8.91
REDE,2842,2018,471842,0.6
SOLIDARIEDADE,744,2018,471842,0.16
PC DO B,7484,2022,531697,1.41
PDT,7109,2022,531697,1.34
PSB,18926,2022,531697,3.56
PSOL,48138,2022,531697,9.05
PSTU,233,2022,531697,0.04
PT,82567,2022,531697,15.53
REDE,2638,2022,531697,0.5
SOLIDARIEDADE,3318,2022,531697,0.62
UP,843,2022,531697,0.16
PC DO B,4862,2024,499870,0.97
PDT,3320,2024,499870,0.66
PSB,63608,2024,499870,12.72
PSOL,28196,2024,499870,5.64
PSTU,466,2024,499870,0.09
PT,36923,2024,499870,7.39
REDE,1020,2024,499870,0.2
SOLIDARIEDADE,10239,2024,499870,2.05
