nr_candidato,nm_candidato,sg_partido,ds_cargo,total_votos,zonas_com_voto,ano
23000,RAFAEL FERNANDO ZIMBALDI,CIDADANIA,Deputado Estadual,32579,7,2022
10200,HIGOR DIEGO RALLA,REPUBLICANOS,Deputado Estadual,28142,7,2022
50100,MARIANA CONTI TAKAHASHI,PSOL,Deputado Estadual,20917,7,2022
22922,VALERIA MULLER RAMOS BOLSONARO,PL,Deputado Estadual,20834,7,2022
13133,EDUARDO MATARAZZO SUPLICY,PT,Deputado Estadual,18750,7,2022
55655,ARTUR CASSEB ORSI,PSD,Deputado Estadual,17321,7,2022
44019,RODRIGO LUIS DE BARROS ALMEIDA,UNIÃO,Deputado Estadual,15525,7,2022
13199,PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD,PT,Deputado Estadual,11841,7,2022
45200,CÉLIA CAMARGO LEÃO EDELMUTH,PSDB,Deputado Estadual,10749,7,2022
10123,GILMACI DOS SANTOS BARBOSA,REPUBLICANOS,Deputado Estadual,9700,7,2022
55400,MARTA MARIA FREIRE DA COSTA,PSD,Deputado Estadual,9398,7,2022
22100,BRUNO ZAMBELLI SALGADO,PL,Deputado Estadual,9348,7,2022
45678,LUIZ HENRIQUE CIRILO,PSDB,Deputado Estadual,9204,7,2022
40456,PERMÍNIO MONTEIRO DA SILVA,PSB,Deputado Estadual,9092,7,2022
10550,TOME ABDUCH,REPUBLICANOS,Deputado Estadual,9047,7,2022
23456,ANTONIO DIRCEU DALBEN,CIDADANIA,Deputado Estadual,8019,7,2022
22422,PAULO JORGE MANSUR NETO,PL,Deputado Estadual,7168,7,2022
13121,ANA LUCIA LIPPAUS PERUGINI,PT,Deputado Estadual,7156,7,2022
22120,GILDEVANIO ILSO DOS SANTOS DINIZ,PL,Deputado Estadual,7058,7,2022
22000,DIMAS MECCA SAMPAIO,PL,Deputado Estadual,6864,7,2022
50000,PAULA NUNES DOS SANTOS,PSOL,Deputado Estadual,6159,7,2022
30730,HENRIQUE MAGALHÃES TEIXEIRA,NOVO,Deputado Estadual,5906,7,2022
13300,WAGNER DE MELO ROMÃO,PT,Deputado Estadual,5618,7,2022
19519,EDUARDO DOS REIS MAGOGA,PODE,Deputado Estadual,5423,7,2022
22112,CARLOS CEZAR DA SILVA,PL,Deputado Estadual,5018,7,2022
22500,LUCAS DIEZ BOVE,PL,Deputado Estadual,4994,7,2022
44220,ANDRE CRISTHIANO CAYRES RIBEIRO,UNIÃO,Deputado Estadual,4806,7,2022
13112,EVELYN SILVA DO NASCIMENTO VICENTE DA SILVA,PT,Deputado Estadual,4727,7,2022
50777,PAULO ROBERTO BUFALO,PSOL,Deputado Estadual,4400,7,2022
44777,AUGUSTO ZACARIAS CORREA LEITE,UNIÃO,Deputado Estadual,4338,7,2022
22138,ROBERVAL CONTE LOPES LIMA,PL,Deputado Estadual,3929,7,2022
50789,CARLOS ALBERTO GIANNASI,PSOL,Deputado Estadual,3919,7,2022
22222,MARCOS ROBERTO DAMASIO DA SILVA,PL,Deputado Estadual,3768,7,2022
40000,ANDRÉA WERNER SILVA BONOLI,PSB,Deputado Estadual,3710,7,2022
65656,MARCIA REGINA QUINTANILHA,PC do B,Deputado Estadual,3683,7,2022
13120,CARLOS ROBERTO DE OLIVEIRA,PT,Deputado Estadual,3669,7,2022
50110,EDIANE MARIA DO NASCIMENTO,PSOL,Deputado Estadual,3668,7,2022
22444,MATHEUS COIMBRA MARTINS DE AGUIAR,PL,Deputado Estadual,3532,7,2022
13651,PAULO BATISTA DOS REIS,PT,Deputado Estadual,3224,7,2022
11777,ANTONIO ASSUNÇÃO DE OLIM,PP,Deputado Estadual,3057,7,2022
30600,LEONARDO DE SIQUEIRA LIMA,NOVO,Deputado Estadual,2985,7,2022
13016,THAINARA KAROLINE FARIA,PT,Deputado Estadual,2914,7,2022
19101,CLARICE CARASSOL AREVALO GANEM,PODE,Deputado Estadual,2910,7,2022
13123,MARIA IZABEL AZEVEDO NORONHA,PT,Deputado Estadual,2788,7,2022
10099,LEONICE ALVES DA PAZ,REPUBLICANOS,Deputado Estadual,2682,7,2022
13800,JORGE DO CARMO SILVA,PT,Deputado Estadual,2592,7,2022
13331,VERA LUCIA RODRIGUES DE FARIA,PT,Deputado Estadual,2519,7,2022
44007,FELIPE SOUZA MURAKAMI DE FRANCO,UNIÃO,Deputado Estadual,2436,7,2022
23888,LI LI MIN,CIDADANIA,Deputado Estadual,2426,7,2022
20123,HELIO DONIZETE ZANATTA,PSC,Deputado Estadual,2361,7,2022
12200,WILSON KELLER DE MATOS,PDT,Deputado Estadual,2360,7,2022
65035,LECI BRANDÃO DA SILVA,PC do B,Deputado Estadual,2311,7,2022
30130,MARIA CRISTINA DE OLIVEIRA,NOVO,Deputado Estadual,2164,7,2022
13654,JANDYRA MASSUE UEHARA ALVES,PT,Deputado Estadual,2154,7,2022
77040,ADILSON DE SOUZA ROCHA,SOLIDARIEDADE,Deputado Estadual,1898,7,2022
35555,DANILO RIDYER PALMA,PMB,Deputado Estadual,1880,7,2022
20320,JOSÉ CARLOS FURIOSO,PSC,Deputado Estadual,1878,7,2022
22180,RAQUEL KOBASHI GALLINATI LOMBARDI,PL,Deputado Estadual,1874,7,2022
18000,MARINA MEDEIROS HELOU,REDE,Deputado Estadual,1868,7,2022
50900,MÔNICA CRISTINA SEIXAS BONFIM,PSOL,Deputado Estadual,1862,7,2022
22343,THIAGO REIS AURICCHIO,PL,Deputado Estadual,1816,7,2022
13134,LUIZ FERNANDO TEIXEIRA FERREIRA,PT,Deputado Estadual,1756,7,2022
35352,FERNANDO LUIS COUTINHO NEVES,PMB,Deputado Estadual,1748,7,2022
44333,AMANDA VETTORAZZO CARNEIRO,UNIÃO,Deputado Estadual,1736,7,2022
13700,ANTONIO DONATO MADORMO,PT,Deputado Estadual,1707,7,2022
11190,RAFAEL HENRIQUE CANO TELHADA,PP,Deputado Estadual,1686,7,2022
44077,RAFAEL SARAIVA GAIA,UNIÃO,Deputado Estadual,1644,7,2022
55777,OSEIAS SANTOS DA SILVA,PSD,Deputado Estadual,1635,7,2022
13310,LUIZ CLAUDIO MARCOLINO,PT,Deputado Estadual,1631,7,2022
44999,RENATO DE SOUZA BATTISTA,UNIÃO,Deputado Estadual,1590,7,2022
15363,JOSÉ ROGERIO SOARES DOS SANTOS,MDB,Deputado Estadual,1575,7,2022
20190,LUIZ PAULO MADALHANO MAGALHÃES,PSC,Deputado Estadual,1487,7,2022
