nr_local,nr_candidato,nm_candidato,votos,sg_partido,ano,lat,lng
1015,1000,CELSO UBIRAJARA RUSSOMANNO,217,PRB,2018,-22.9056391,-47.059564
1015,10000,JORGE WILSON GONÇALVES DE MATTOS,51,PRB,2018,-22.9056391,-47.059564
1015,10123,GILMACI DOS SANTOS BARBOSA,158,PRB,2018,-22.9056391,-47.059564
1015,1023,HENRIQUE STEIN SCIASCIO,52,PRB,2018,-22.9056391,-47.059564
1015,1078,BENEDITO ROBERTO ALVES FERREIRA,165,PRB,2018,-22.9056391,-47.059564
1015,11,Partido Progressista,42,,2018,-22.9056391,-47.059564
1015,11123,ALESSANDRA REGINA BEGALLI ZAMORA,67,PP,2018,-22.9056391,-47.059564
1015,11138,ROBERVAL CONTE LOPES LIMA,33,PP,2018,-22.9056391,-47.059564
1015,11190,PAULO ADRIANO LOPES LUCINDA TELHADA,124,PP,2018,-22.9056391,-47.059564
1015,1152,ARNALDO FARIA DE SÁ,47,PP,2018,-22.9056391,-47.059564
1015,11777,ANTONIO ASSUNÇÃO DE OLIM,83,PP,2018,-22.9056391,-47.059564
1015,1190,GUILHERME MURARO DERRITE,91,PP,2018,-22.9056391,-47.059564
1015,12,MARCELO DE SOUZA CANDIDO,188,,2018,-22.9056391,-47.059564
1015,12,Partido Democrático Trabalhista,121,,2018,-22.9056391,-47.059564
1015,1200,TABATA CLAUDIA AMARAL DE PONTES,215,PDT,2018,-22.9056391,-47.059564
1015,123,ANTONIO FERNANDES DOS SANTOS NETO,207,PDT,2018,-22.9056391,-47.059564
1015,13,LUIZ MARINHO,1219,PT,2018,-22.9056391,-47.059564
1015,13,Partido dos Trabalhadores,512,PT,2018,-22.9056391,-47.059564
1015,13001,PEDRO TOURINHO DE SIQUEIRA,392,PT,2018,-22.9056391,-47.059564
1015,131,EDUARDO MATARAZZO SUPLICY,2729,PT,2018,-22.9056391,-47.059564
1015,13112,GERSON LUIS BITTENCOURT,99,,2018,-22.9056391,-47.059564
1015,1318,MARCIO POCHMANN,643,PT,2018,-22.9056391,-47.059564
1015,13199,ANTONIO MENTOR DE MELLO SOBRINHO,85,PT,2018,-22.9056391,-47.059564
1015,132,JILMAR AUGUSTINHO TATTO,977,PT,2018,-22.9056391,-47.059564
1015,1321,ANA LUCIA LIPPAUS PERUGINI,121,PT,2018,-22.9056391,-47.059564
1015,1322,ARLINDO CHIGNALIA JUNIOR,30,PT,2018,-22.9056391,-47.059564
1015,1332,JOSE MENTOR GUILHERME DE MELLO NETTO,61,PT,2018,-22.9056391,-47.059564
1015,1370,CARLOS ALBERTO ROLIM ZARATTINI,38,PT,2018,-22.9056391,-47.059564
1015,1380,PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD,34,PT,2018,-22.9056391,-47.059564
1015,13813,RENATO SIMOES,168,PT,2018,-22.9056391,-47.059564
