zona,ano,Analfabeto,Fund. Completo,Fund. Incompleto,Medio Completo,Medio Incompleto,Le e Escreve,Superior Completo,Superior Incompleto
33,2018,0.42,6.73,9.1,22.97,13.42,2.37,34.19,10.81
274,2018,1.28,8.91,19.87,26.36,17.65,3.59,15.26,7.09
275,2018,1.53,6.76,17.57,22.78,16.96,3.24,23.25,7.91
378,2018,2.92,8.76,25.44,30.0,19.36,5.39,4.84,3.3
379,2018,2.82,9.12,23.44,29.31,19.55,5.24,6.17,4.35
380,2018,1.24,8.98,20.44,27.0,19.57,4.29,12.17,6.31
423,2018,1.52,7.01,18.4,23.83,16.88,3.59,21.43,7.35
33,2020,0.45,6.01,8.17,22.73,11.87,2.09,38.13,10.54
274,2020,1.26,8.1,17.48,27.92,15.3,3.13,19.3,7.51
275,2020,1.53,6.38,15.8,23.92,15.17,2.9,26.28,8.01
378,2020,2.91,8.46,23.27,33.0,17.83,4.78,6.13,3.63
379,2020,2.77,8.7,21.47,32.08,17.96,4.71,7.74,4.58
380,2020,1.28,8.4,18.36,29.27,17.23,3.83,15.09,6.53
423,2020,1.53,6.58,16.63,25.14,15.23,3.2,24.17,7.53
33,2022,0.41,5.55,7.52,22.68,11.89,1.9,39.39,10.64
274,2022,1.13,7.69,16.13,28.87,15.84,2.81,19.78,7.74
275,2022,1.38,6.02,14.53,24.5,15.61,2.59,26.94,8.42
378,2022,2.62,8.18,21.74,34.37,18.82,4.34,6.18,3.76
379,2022,2.49,8.45,20.16,33.33,18.82,4.27,7.81,4.66
380,2022,1.18,8.06,17.3,30.21,17.71,3.51,15.26,6.76
423,2022,1.41,6.39,15.55,26.19,16.01,2.9,23.93,7.62
33,2024,0.65,6.22,9.91,24.47,13.46,2.18,33.1,10.02
274,2024,1.34,7.57,16.36,31.13,17.27,2.79,16.71,6.84
275,2024,1.27,5.54,13.08,24.98,15.82,2.22,28.26,8.83
378,2024,2.5,8.05,21.47,35.17,19.04,4.22,5.81,3.74
379,2024,2.58,8.07,20.38,35.75,19.84,4.05,5.49,3.84
380,2024,1.13,7.88,16.86,31.28,17.95,3.22,14.91,6.77
423,2024,1.41,6.49,16.15,26.76,16.32,2.86,22.57,7.43
