faixa,eleitores,ano
16 anos                       ,876,2018
17 anos                       ,2813,2018
18 anos                       ,9770,2018
19 anos                       ,13215,2018
20 anos                       ,14620,2018
21 a 24 anos                  ,63321,2018
25 a 29 anos                  ,79923,2018
30 a 34 anos                  ,86898,2018
35 a 39 anos                  ,93219,2018
40 a 44 anos                  ,83077,2018
45 a 49 anos                  ,74935,2018
50 a 54 anos                  ,72451,2018
55 a 59 anos                  ,66197,2018
60 a 64 anos                  ,56848,2018
65 a 69 anos                  ,43424,2018
70 a 74 anos                  ,30899,2018
75 a 79 anos                  ,21787,2018
80 a 84 anos                  ,15052,2018
85 a 89 anos                  ,10053,2018
90 a 94 anos                  ,6663,2018
95 a 99 anos                  ,2767,2018
100 anos ou mais              ,316,2018
16 anos,182,2020
17 anos,1416,2020
18 anos,5235,2020
19 anos,10488,2020
20 anos,13699,2020
21 a 24 anos,61253,2020
25 a 29 anos,77669,2020
30 a 34 anos,84388,2020
35 a 39 anos,89835,2020
40 a 44 anos,85578,2020
45 a 49 anos,75482,2020
50 a 54 anos,70749,2020
55 a 59 anos,66851,2020
60 a 64 anos,58956,2020
65 a 69 anos,46643,2020
70 a 74 anos,33989,2020
75 a 79 anos,22891,2020
80 a 84 anos,16352,2020
85 a 89 anos,9913,2020
90 a 94 anos,7137,2020
95 a 99 anos,4236,2020
100 anos ou mais,489,2020
16 anos,3177,2022
17 anos,5131,2022
18 anos,9637,2022
19 anos,11181,2022
20 anos,12262,2022
21 a 24 anos,59920,2022
25 a 29 anos,81271,2022
30 a 34 anos,82682,2022
35 a 39 anos,88470,2022
40 a 44 anos,91427,2022
45 a 49 anos,78988,2022
50 a 54 anos,71982,2022
55 a 59 anos,68859,2022
60 a 64 anos,61047,2022
65 a 69 anos,50206,2022
70 a 74 anos,36825,2022
75 a 79 anos,25137,2022
80 a 84 anos,17005,2022
85 a 89 anos,10346,2022
90 a 94 anos,6642,2022
95 a 99 anos,4719,2022
100 anos ou mais,1799,2022
16 anos,573,2024
17 anos,1767,2024
18 anos,7338,2024
19 anos,10389,2024
20 anos,12432,2024
21 a 24 anos,55202,2024
25 a 29 anos,81785,2024
30 a 34 anos,81246,2024
35 a 39 anos,88017,2024
40 a 44 anos,91916,2024
45 a 49 anos,83821,2024
50 a 54 anos,73392,2024
55 a 59 anos,69233,2024
60 a 64 anos,62830,2024
65 a 69 anos,53612,2024
70 a 74 anos,40465,2024
75 a 79 anos,27707,2024
80 a 84 anos,17903,2024
85 a 89 anos,11071,2024
90 a 94 anos,6230,2024
95 a 99 anos,4838,2024
100 anos ou mais,2957,2024
