zona,nr_candidato,nm_candidato,sg_partido,ds_cargo,votos,ano
0033,10000,PAULO SERGIO CAMPANA,REPUBLICANOS,Vereador,99,2020
0033,10001,EDERSON ROGERIO WULK,REPUBLICANOS,Vereador,2,2020
0033,10010,CLAUDIO CORMANICH,REPUBLICANOS,Vereador,147,2020
0033,10012,ROSANGELA DE ANDRADE,REPUBLICANOS,Vereador,5,2020
0033,10014,JURANDIR QUIRINO DOS SANTOS,REPUBLICANOS,Vereador,1,2020
0033,10020,FERNANDO MANTOVAN,REPUBLICANOS,Vereador,19,2020
0033,10025,BRUNO APARECIDO DE LIMA,REPUBLICANOS,Vereador,9,2020
0033,10027,LUIS ROBERTO DE ALMEIDA,REPUBLICANOS,Vereador,3,2020
0033,10069,VALERIA TANIA FRANCISCHINI,REPUBLICANOS,Vereador,16,2020
0033,10080,LUIZ FELIPE DE OLIVEIRA THEODORO,REPUBLICANOS,Vereador,158,2020
0033,10100,ROVILSON ROSCITO,REPUBLICANOS,Vereador,6,2020
0033,10101,CARLOS ROBERTO DE MATTOS ROCHA JUNIOR,REPUBLICANOS,Vereador,17,2020
0033,10110,ROSANA OLIVIER GONÇALVES,REPUBLICANOS,Vereador,7,2020
0033,10111,AMBROSIO LUZ NETO,REPUBLICANOS,Vereador,28,2020
0033,10122,LUIZ GONZAGA,REPUBLICANOS,Vereador,65,2020
0033,10123,FERNANDO CESAR RIBEIRO MENDES,REPUBLICANOS,Vereador,282,2020
0033,10125,JADIELSON FERREIRA DA SILVA,REPUBLICANOS,Vereador,8,2020
0033,10147,ROSA MONICA CUSTODIO,REPUBLICANOS,Vereador,7,2020
0033,10153,CRISTIANO DE OLIVEIRA E SILVA,REPUBLICANOS,Vereador,2,2020
0033,10156,DORACI CORREIA DE ALMEIDA,REPUBLICANOS,Vereador,4,2020
0033,10159,PRISCILA MENDES FERREIRA INACIO,REPUBLICANOS,Vereador,13,2020
0033,10190,ARGEU ALENCAR DA SILVA,REPUBLICANOS,Vereador,27,2020
0033,10200,HIGOR DIEGO RALLA,REPUBLICANOS,Vereador,29,2020
0033,10234,JAKSSON LEANDRO LUCIANO GONÇALVES,REPUBLICANOS,Vereador,12,2020
0033,10300,MARCIA FABIANA DA SILVA,REPUBLICANOS,Vereador,0,2020
0033,10321,JORDANA DE SOUSA MOURA ARAUJO,REPUBLICANOS,Vereador,8,2020
0033,10333,NOEMI SILVANA PRATES DE OLIVEIRA,REPUBLICANOS,Vereador,9,2020
0033,10345,OSCAR NEVES GUIMARÃES,REPUBLICANOS,Vereador,10,2020
0033,10369,STELLA FREIRE HERRMANN,REPUBLICANOS,Vereador,31,2020
0033,10400,OSVALDO MARTINS OLIVEIRA,REPUBLICANOS,Vereador,3,2020
0033,10444,MARIA LUCIA CAMILO,REPUBLICANOS,Vereador,1,2020
0033,10456,CELINA APARECIDA PORFIRIO,REPUBLICANOS,Vereador,10,2020
0033,10500,ROGERIO BERNARDES BOGONE,REPUBLICANOS,Vereador,26,2020
0033,10544,APARECIDA TERESINHA BURATTO,REPUBLICANOS,Vereador,4,2020
0033,10555,FLAUBERT DE ARAUJO,REPUBLICANOS,Vereador,5,2020
0033,10567,RODISNEI CESAR CLOSEL,REPUBLICANOS,Vereador,9,2020
0033,10600,RUBENS EIDE JUNIOR,REPUBLICANOS,Vereador,77,2020
0033,10700,PAULO ALVES MAIA,REPUBLICANOS,Vereador,41,2020
0033,10711,JULIO CESAR FERREIRA ALVES,REPUBLICANOS,Vereador,6,2020
0033,10777,NILSON DO CARMO SANTOS,REPUBLICANOS,Vereador,16,2020
0033,10789,CARLOS JOSE LEMOS,REPUBLICANOS,Vereador,15,2020
0033,10911,SAULO FERNANDO ZACARI,REPUBLICANOS,Vereador,29,2020
0033,10978,LUIZA HELENA CAGLIARI DE SOUZA,REPUBLICANOS,Vereador,16,2020
0033,10999,ROSINEI APARECIDA MOREIRA MATOKANOVIC,REPUBLICANOS,Vereador,12,2020
0033,11000,ANTONIO JOSÉ SOARES DOS SANTOS,PP,Vereador,32,2020
0033,11007,BRUNO HENRIQUE PEREIRA FRANCISCHINI,PP,Vereador,7,2020
0033,11011,WALDIR CUSTÓDIO DE LIMA,PP,Vereador,45,2020
0033,11016,LUCIANA DA SILVA,PP,Vereador,3,2020
0033,11019,EMILY NAYARA DOS SANTOS LIMA,PP,Vereador,0,2020
0033,11023,SONIA MARIA DOS SANTOS,PP,Vereador,3,2020
0033,11033,SEBASTIAO BORGES DE ARAUJO,PP,Vereador,18,2020
0033,11038,EDERSON PERIN MARTINS,PP,Vereador,55,2020
0033,11044,PEDRO REMONDINI,PP,Vereador,4,2020
0033,11078,ZACARIAS NUNES DE SIQUEIRA,PP,Vereador,26,2020
0033,11111,JAIME DE SOUZA,PP,Vereador,217,2020
0033,11120,OSMAR DELLA PASCHOA JUNIOR,PP,Vereador,13,2020
0033,11121,VALDIR RIBEIRO PIRES,PP,Vereador,28,2020
0033,11123,DENILSON DO PRADO,PP,Vereador,5,2020
0033,11138,JEFERSON ANTONIO SOUZA PINTO,PP,Vereador,3,2020
0033,11181,MARCOS ALVES FERREIRA,PP,Vereador,104,2020
0033,11189,MILENE FORTUOSO DOS SANTOS,PP,Vereador,0,2020
0033,11190,ISRAEL NANTES SANTOS,PP,Vereador,87,2020
0033,11200,FRANCISCO DE ASSIS NASCIMENTO,PP,Vereador,3,2020
0033,11207,SIRLENE CONCEIÇÃO DE SOUZA,PP,Vereador,37,2020
0033,11211,LUCAS HENRIQUE TREVIZAN,PP,Vereador,0,2020
0033,11222,EDINEI EDUARDO CESCHI,PP,Vereador,41,2020
0033,11234,VILSON DORIVAL FRANÇA,PP,Vereador,11,2020
0033,11239,THARINE LILLENA VEIGA,PP,Vereador,9,2020
0033,11246,GERALDO JOSE LAURIA,PP,Vereador,5,2020
0033,11249,NOEMIAS CAMARGO JUNIOR,PP,Vereador,11,2020
0033,11260,MARIA CALVARIO BERNARDO DE CAMPOS,PP,Vereador,3,2020
0033,11300,MARIA CLAUDIA BERTUZZO VEIGA,PP,Vereador,39,2020
0033,11311,ALMIRANTE PEDRO ALVARES CABRAL,PP,Vereador,123,2020
0033,11321,ALEXANDRE BARBOSA DA SILVA,PP,Vereador,88,2020
0033,11336,FLÁVIO EDILSON PADOVINI,PP,Vereador,38,2020
0033,11380,ROBERVAL BEZERRA ALVES,PP,Vereador,13,2020
0033,11444,DOROTIDES CAMPELLO DOS SANTOS ANJOS,PP,Vereador,9,2020
0033,11511,SONIA APARECIDA DE CARVALHO THEODORO,PP,Vereador,4,2020
0033,11522,ANESIO PEREIRA DA SILVA FILHO,PP,Vereador,1,2020
0033,11553,PETRONIO ALVES DA CRUZ,PP,Vereador,14,2020
0033,11555,ALEXANDRE MARTINS SILVA,PP,Vereador,12,2020
0033,11600,FILETO DE ALBUQUERQUE,PP,Vereador,65,2020
0033,11611,APARECIDO SEVERINO BENTO,PP,Vereador,0,2020
0033,11636,SONIA ROSANGELA RODRIGUES,PP,Vereador,2,2020
0033,11784,NESTOR SAYÃO SARTORETTO,PP,Vereador,6,2020
0033,11878,LUCIVÂNIA PINHEIRO BARBOSA,PP,Vereador,45,2020
0033,11888,LEUCE MAGALHÃES MARANHÃO,PP,Vereador,17,2020
0033,11900,HELENA CARDOSO TABERTI,PP,Vereador,0,2020
0033,11999,CLAUDINE GONÇALVES COSTA,PP,Vereador,26,2020
0033,12000,VIVIANE REGINA DE LIMA CRISPIM,PDT,Vereador,13,2020
0033,12007,JERÔNIMO APARECIDO BORGES,PDT,Vereador,1,2020
0033,12012,CARLOS SALUSTIANO DA SILVA,PDT,Vereador,9,2020
0033,12111,IGOR CARDIA SOARES SOUZA,PDT,Vereador,16,2020
0033,12113,EDVALDO FERREIRA GUEDES,PDT,Vereador,1,2020
0033,12121,JORGE HENRIQUE RODRIGUES CERQUEIRA,PDT,Vereador,0,2020
0033,12123,AILTON FABIO GONÇALVES DE SOUZA,PDT,Vereador,5,2020
0033,12151,MANOEL MESSIAS DOS SANTOS,PDT,Vereador,0,2020
0033,12227,SHIRLEI GUIRÃO DA SILVA CHAGAS,PDT,Vereador,0,2020
0033,12255,RUTE APARECIDA LEITE RIPARI,PDT,Vereador,3,2020
0033,12321,NILTON RIBEIRO DOS SANTOS JUNIOR,PDT,Vereador,24,2020
0033,12333,MARCELO JOSÉ DIAS,PDT,Vereador,1,2020
0033,12340,PAULO HENRIQUE DE BRITO DOS SANTOS,PDT,Vereador,4,2020
0033,12344,OSMIL JOSÉ DA SILVA,PDT,Vereador,8,2020
0033,12345,AURELIO JOSE CLAUDIO,PDT,Vereador,34,2020
0033,12369,LUIS HENRIQUE FERMINO JORGE,PDT,Vereador,1,2020
0033,12500,FABIO APARECIDO MORANDI,PDT,Vereador,16,2020
0033,12612,VINICIUS STACHIN BRITO,PDT,Vereador,0,2020
0033,12661,ANTONIO CARLOS DIONISIO BISPO,PDT,Vereador,0,2020
0033,12678,CARLOS HENRIQUE POLIS,PDT,Vereador,2,2020
0033,12737,BRÍGIDA FELICIANA DOS SANTOS,PDT,Vereador,3,2020
0033,12777,CLAUDIO RISSI,PDT,Vereador,8,2020
0033,12812,JOSÉ CARLOS BRUNO,PDT,Vereador,9,2020
0033,12835,FABIO HENRIQUE DOS SANTOS,PDT,Vereador,0,2020
0033,12888,APARECIDA CUSTÓDIO DOS SANTOS,PDT,Vereador,3,2020
0033,12890,LUCIA DE FATIMA BALARINI DA SILVA,PDT,Vereador,0,2020
