zona,partido,votos,ano
0033,AGIR,0,2022
0033,AVANTE,0,2022
0033,CIDADANIA,2008,2022
0033,DC,1,2022
0033,MDB,498,2022
0033,NOVO,2347,2022
0033,PATRIOTA,268,2022
0033,PC DO B,515,2022
0033,PCB,36,2022
0033,PCO,8,2022
0033,PDT,472,2022
0033,PL,7551,2022
0033,PMB,335,2022
0033,PMN,0,2022
0033,PODE,781,2022
0033,PP,571,2022
0033,PROS,0,2022
0033,PRTB,233,2022
0033,PSB,1249,2022
0033,PSC,432,2022
0033,PSD,3008,2022
0033,PSDB,2705,2022
0033,PSOL,5157,2022
0033,PSTU,23,2022
0033,PT,4954,2022
0033,PTB,0,2022
0033,PV,89,2022
0033,REDE,448,2022
0033,REPUBLICANOS,2830,2022
0033,SOLIDARIEDADE,228,2022
0033,UNIÃO,1455,2022
0033,UP,63,2022
0274,AGIR,0,2022
0274,AVANTE,0,2022
0274,CIDADANIA,3853,2022
0274,DC,0,2022
0274,MDB,953,2022
0274,NOVO,1952,2022
0274,PATRIOTA,261,2022
0274,PC DO B,877,2022
0274,PCB,55,2022
0274,PCO,4,2022
0274,PDT,822,2022
0274,PL,13315,2022
0274,PMB,712,2022
0274,PMN,0,2022
0274,PODE,1303,2022
0274,PP,995,2022
0274,PROS,0,2022
0274,PRTB,342,2022
0274,PSB,4725,2022
0274,PSC,1064,2022
0274,PSD,2842,2022
0274,PSDB,3089,2022
0274,PSOL,5900,2022
0274,PSTU,30,2022
0274,PT,6899,2022
0274,PTB,0,2022
0274,PV,153,2022
0274,REDE,233,2022
0274,REPUBLICANOS,4218,2022
0274,SOLIDARIEDADE,329,2022
0274,UNIÃO,3147,2022
0274,UP,111,2022
0275,AGIR,0,2022
0275,AVANTE,0,2022
0275,CIDADANIA,9239,2022
0275,DC,8,2022
0275,MDB,1194,2022
0275,NOVO,4624,2022
0275,PATRIOTA,624,2022
0275,PC DO B,1216,2022
0275,PCB,155,2022
0275,PCO,9,2022
0275,PDT,1108,2022
0275,PL,17761,2022
0275,PMB,701,2022
0275,PMN,0,2022
0275,PODE,2106,2022
0275,PP,1370,2022
0275,PROS,0,2022
0275,PRTB,516,2022
0275,PSB,2738,2022
0275,PSC,1082,2022
0275,PSD,5356,2022
0275,PSDB,5259,2022
0275,PSOL,12959,2022
0275,PSTU,64,2022
0275,PT,13607,2022
0275,PTB,0,2022
0275,PV,188,2022
0275,REDE,883,2022
0275,REPUBLICANOS,5890,2022
0275,SOLIDARIEDADE,492,2022
0275,UNIÃO,4520,2022
0275,UP,187,2022
0378,AGIR,0,2022
0378,AVANTE,0,2022
0378,CIDADANIA,12252,2022
0378,DC,8,2022
0378,MDB,1131,2022
0378,NOVO,1421,2022
0378,PATRIOTA,533,2022
0378,PC DO B,1988,2022
0378,PCB,52,2022
0378,PCO,34,2022
0378,PDT,1835,2022
0378,PL,18128,2022
0378,PMB,839,2022
0378,PMN,0,2022
0378,PODE,2143,2022
0378,PP,1578,2022
0378,PROS,0,2022
0378,PRTB,594,2022
0378,PSB,3855,2022
0378,PSC,3255,2022
0378,PSD,7182,2022
0378,PSDB,3544,2022
0378,PSOL,6280,2022
0378,PSTU,42,2022
0378,PT,23116,2022
0378,PTB,0,2022
0378,PV,88,2022
0378,REDE,187,2022
0378,REPUBLICANOS,10277,2022
0378,SOLIDARIEDADE,896,2022
0378,UNIÃO,16144,2022
0378,UP,162,2022
0379,AGIR,0,2022
0379,AVANTE,0,2022
0379,CIDADANIA,6984,2022
0379,DC,1,2022
0379,MDB,962,2022
0379,NOVO,1403,2022
0379,PATRIOTA,320,2022
0379,PC DO B,1088,2022
0379,PCB,65,2022
0379,PCO,19,2022
0379,PDT,1155,2022
0379,PL,13946,2022
0379,PMB,657,2022
0379,PMN,0,2022
0379,PODE,1616,2022
0379,PP,1227,2022
0379,PROS,0,2022
0379,PRTB,439,2022
0379,PSB,2241,2022
0379,PSC,1858,2022
0379,PSD,4764,2022
0379,PSDB,2627,2022
0379,PSOL,6018,2022
0379,PSTU,29,2022
0379,PT,16285,2022
0379,PTB,0,2022
0379,PV,90,2022
0379,REDE,182,2022
0379,REPUBLICANOS,25578,2022
0379,SOLIDARIEDADE,567,2022
0379,UNIÃO,5999,2022
0379,UP,110,2022
0380,AGIR,0,2022
0380,AVANTE,0,2022
0380,CIDADANIA,6488,2022
0380,DC,1,2022
0380,MDB,963,2022
0380,NOVO,1836,2022
0380,PATRIOTA,363,2022
0380,PC DO B,998,2022
0380,PCB,75,2022
0380,PCO,4,2022
0380,PDT,942,2022
0380,PL,14838,2022
0380,PMB,881,2022
0380,PMN,0,2022
0380,PODE,3941,2022
0380,PP,1281,2022
0380,PROS,0,2022
0380,PRTB,397,2022
0380,PSB,2178,2022
0380,PSC,1293,2022
0380,PSD,3603,2022
0380,PSDB,3464,2022
0380,PSOL,6428,2022
0380,PSTU,29,2022
0380,PT,10253,2022
0380,PTB,0,2022
0380,PV,144,2022
0380,REDE,309,2022
0380,REPUBLICANOS,5526,2022
0380,SOLIDARIEDADE,563,2022
0380,UNIÃO,3692,2022
0380,UP,115,2022
0423,AGIR,0,2022
0423,AVANTE,0,2022
0423,CIDADANIA,3529,2022
0423,DC,2,2022
0423,MDB,853,2022
0423,NOVO,2955,2022
0423,PATRIOTA,395,2022
0423,PC DO B,802,2022
0423,PCB,59,2022
0423,PCO,6,2022
0423,PDT,775,2022
0423,PL,10704,2022
0423,PMB,518,2022
0423,PMN,0,2022
0423,PODE,1199,2022
0423,PP,844,2022
0423,PROS,0,2022
0423,PRTB,321,2022
0423,PSB,1940,2022
0423,PSC,869,2022
0423,PSD,5019,2022
0423,PSDB,5328,2022
0423,PSOL,5396,2022
0423,PSTU,16,2022
0423,PT,7453,2022
0423,PTB,0,2022
0423,PV,103,2022
0423,REDE,396,2022
0423,REPUBLICANOS,4520,2022
